Bn;Un;Ln;Cn;Dn;Dn-Cn;n;k
84;1071;6;26104;27271;1167;3000;49;
70;1475;6;33875;38432;4557;4000;0;
64;1433;6;35248;44947;9699;4000;1;
74;1477;6;29577;43203;13626;4000;2;
127;1483;7;40915;45674;4759;4000;3;
74;1452;7;36692;40889;4197;4000;4;
77;1479;6;37511;43807;6296;4000;5;
85;1462;6;34824;40551;5727;4000;6;
127;1471;6;28821;41132;12311;4000;7;
92;1461;6;31655;43495;11840;4000;8;
87;1514;6;32405;36905;4500;4000;9;
25;1474;6;32362;48179;15817;4000;10;
78;1469;7;37032;56911;19879;4000;11;
33;1465;6;48039;53005;4966;4000;12;
68;1464;6;45539;47459;1920;4000;13;
178;1445;6;39552;42311;2759;4000;14;
62;1473;7;30943;41376;10433;4000;15;
93;1500;6;35499;44570;9071;4000;16;
58;1440;8;33056;41256;8200;4000;17;
28;1509;6;37378;47660;10282;4000;18;
66;1458;8;36330;43700;7370;4000;19;
43;1478;6;33652;45593;11941;4000;20;
57;1462;8;43287;43993;706;4000;21;
61;1466;5;38445;45588;7143;4000;22;
21;1457;9;46583;48503;1920;4000;23;
53;1465;7;32172;46545;14373;4000;24;
48;1500;6;34988;55620;20632;4000;25;
132;1453;6;36770;42549;5779;4000;26;
89;1466;6;31916;48768;16852;4000;27;
32;1470;7;31462;45940;14478;4000;28;
107;1484;5;38465;48231;9766;4000;29;
73;1469;6;33940;40863;6923;4000;30;
112;1464;6;27880;46895;19015;4000;31;
119;1494;6;39729;50929;11200;4000;32;
19;1438;7;28204;46292;18088;4000;33;
23;1479;6;35341;41285;5944;4000;34;
45;1443;6;40126;43662;3536;4000;35;
143;1473;7;30147;48372;18225;4000;36;
58;1467;7;34533;45227;10694;4000;37;
33;1460;7;44310;52004;7694;4000;38;
89;1477;6;30221;37185;6964;4000;39;
78;1470;6;29527;45687;16160;4000;40;
55;1457;6;49555;53468;3913;4000;41;
39;1496;6;33999;39958;5959;4000;42;
83;1464;8;32086;40480;8394;4000;43;
60;1434;7;41098;41176;78;4000;44;
59;1457;6;37385;47053;9668;4000;45;
78;1482;6;36117;44006;7889;4000;46;
150;1466;6;38275;44934;6659;4000;47;
79;1483;7;33199;42331;9132;4000;48;
18;1442;5;31645;42330;10685;4000;49;
123;1886;8;46829;52458;5629;5000;0;
170;1865;7;44327;64148;19821;5000;1;
97;1878;7;40116;54174;14058;5000;2;
82;1813;7;40693;55270;14577;5000;3;
171;1819;6;40963;53744;12781;5000;4;
102;1857;7;41801;48656;6855;5000;5;
26;1870;7;39492;58610;19118;5000;6;
116;1816;5;45497;54199;8702;5000;7;
165;1809;6;38412;59755;21343;5000;8;
21;1826;5;47472;58768;11296;5000;9;
88;1839;6;41179;47976;6797;5000;10;
33;1811;7;45472;58591;13119;5000;11;
62;1842;7;52239;57149;4910;5000;12;
120;1849;6;40603;59653;19050;5000;13;
87;1861;7;41525;47554;6029;5000;14;
23;1843;6;51536;57422;5886;5000;15;
85;1814;6;45133;46843;1710;5000;16;
64;1819;6;58907;58947;40;5000;17;
12;1794;6;45272;55993;10721;5000;18;
102;1835;6;44326;52736;8410;5000;19;
73;1827;6;46904;54433;7529;5000;20;
189;1832;6;47314;57933;10619;5000;21;
146;1829;6;39782;52467;12685;5000;22;
83;1850;6;45259;58609;13350;5000;23;
139;1856;6;37481;55467;17986;5000;24;
20;1855;6;57289;63459;6170;5000;25;
117;1838;7;47290;60293;13003;5000;26;
33;1853;7;39668;53818;14150;5000;27;
28;1852;6;48262;56372;8110;5000;28;
65;1807;6;46965;56644;9679;5000;29;
50;1836;6;47905;68584;20679;5000;30;
60;1815;6;41981;51861;9880;5000;31;
55;1838;6;55832;65718;9886;5000;32;
79;1878;6;48738;57138;8400;5000;33;
79;1831;8;48002;56429;8427;5000;34;
25;1871;7;36184;53321;17137;5000;35;
80;1834;7;48614;59673;11059;5000;36;
112;1812;7;45213;54080;8867;5000;37;
99;1898;7;39026;52797;13771;5000;38;
126;1829;7;39384;51825;12441;5000;39;
17;1800;6;48538;63673;15135;5000;40;
38;1838;5;43612;57761;14149;5000;41;
118;1826;5;41739;55787;14048;5000;42;
74;1866;6;46557;62968;16411;5000;43;
73;1809;7;47708;54955;7247;5000;44;
22;1811;6;44817;67206;22389;5000;45;
79;1820;7;46639;56926;10287;5000;46;
91;1840;6;53340;60044;6704;5000;47;
92;1833;6;37493;59984;22491;5000;48;
32;1842;6;47525;57641;10116;5000;49;
33;2179;6;56817;66077;9260;6000;0;
137;2195;6;71123;75748;4625;6000;1;
86;2208;6;51713;59412;7699;6000;2;
170;2186;6;64903;73086;8183;6000;3;
152;2210;5;59176;72946;13770;6000;4;
140;2214;6;56426;75666;19240;6000;5;
168;2202;7;47573;58058;10485;6000;6;
48;2212;7;55476;83264;27788;6000;7;
266;2275;6;45521;67926;22405;6000;8;
51;2185;6;54637;65607;10970;6000;9;
91;2204;7;49685;68518;18833;6000;10;
89;2201;6;62212;74234;12022;6000;11;
61;2188;7;51984;65067;13083;6000;12;
27;2223;6;51058;69275;18217;6000;13;
172;2222;6;48237;78579;30342;6000;14;
158;2230;6;43767;70288;26521;6000;15;
54;2200;6;52391;75612;23221;6000;16;
126;2212;7;51118;75607;24489;6000;17;
155;2198;6;63448;66960;3512;6000;18;
207;2188;6;52816;84012;31196;6000;19;
155;2181;7;53249;62361;9112;6000;20;
19;2200;6;46822;63070;16248;6000;21;
164;2223;7;65672;80817;15145;6000;22;
117;2205;6;81930;84487;2557;6000;23;
202;2248;7;48555;68194;19639;6000;24;
68;2221;6;48847;75905;27058;6000;25;
17;2165;6;50588;62857;12269;6000;26;
79;2183;7;45678;67395;21717;6000;27;
102;2181;6;53999;59673;5674;6000;28;
83;2201;7;51465;68851;17386;6000;29;
81;2190;6;50964;59202;8238;6000;30;
151;2222;7;70536;81809;11273;6000;31;
71;2194;6;54277;75306;21029;6000;32;
52;2179;6;56668;66232;9564;6000;33;
80;2208;6;49370;85211;35841;6000;34;
50;2222;6;59587;78478;18891;6000;35;
