Bn;Un;Ln;Cn;Dn;Dn-Cn;n;k
21;9249;8;248174;358239;110065;25000;13;
213;9241;7;237350;356036;118686;25000;14;
208;9202;7;239748;368084;128336;25000;15;
273;9159;7;246490;323877;77387;25000;16;
273;9195;7;296995;327705;30710;25000;17;
258;9176;8;248027;400196;152169;25000;18;
75;9167;7;226305;307496;81191;25000;19;
244;9179;7;230523;275510;44987;25000;20;
44;9168;7;247849;300102;52253;25000;21;
156;9261;8;257961;309248;51287;25000;22;
33;9224;7;251264;292657;41393;25000;23;
236;9202;7;294063;339417;45354;25000;24;
310;9205;7;326112;332460;6348;25000;25;
263;9210;8;258891;325720;66829;25000;26;
126;9105;7;294633;297213;2580;25000;27;
275;9251;7;205758;299253;93495;25000;28;
190;9233;7;223566;311199;87633;25000;29;
232;9172;7;258446;413604;155158;25000;30;
146;9079;6;280395;375018;94623;25000;31;
146;9201;7;282472;323008;40536;25000;32;
212;9211;7;339705;371450;31745;25000;33;
306;9150;7;314322;317878;3556;25000;34;
171;9200;7;271988;320561;48573;25000;35;
359;9203;7;249869;310333;60464;25000;36;
265;9346;7;276851;303789;26938;25000;37;
95;9240;7;248708;301712;53004;25000;38;
97;9171;8;245077;321567;76490;25000;39;
219;9141;6;237190;336561;99371;25000;40;
76;9166;8;274205;332738;58533;25000;41;
167;9265;7;267549;327246;59697;25000;42;
67;9150;7;327518;467155;139637;25000;43;
292;9186;7;268864;286180;17316;25000;44;
63;9225;7;267758;314274;46516;25000;45;
209;9176;7;254347;292809;38462;25000;46;
342;9193;7;224980;348460;123480;25000;47;
330;9117;7;299961;316193;16232;25000;48;
224;9166;7;270685;338011;67326;25000;49;
77;9564;7;353342;396237;42895;26000;0;
73;9538;6;358725;389959;31234;26000;1;
10;9600;8;290789;333666;42877;26000;2;
150;9661;7;288655;363135;74480;26000;3;
130;9517;7;241150;313849;72699;26000;4;
331;9533;6;242593;331283;88690;26000;5;
201;9551;7;291390;348810;57420;26000;6;
158;9606;7;281718;317507;35789;26000;7;
338;9601;7;293300;358940;65640;26000;8;
126;9619;7;265418;354782;89364;26000;9;
90;9543;7;299656;310514;10858;26000;10;
74;9509;8;250823;326715;75892;26000;11;
224;9659;7;268367;299381;31014;26000;12;
348;9514;7;233626;330028;96402;26000;13;
244;9643;7;253918;314732;60814;26000;14;
157;9577;8;321893;392085;70192;26000;15;
129;9603;6;265668;317149;51481;26000;16;
299;9567;8;226438;302346;75908;26000;17;
200;9561;8;262938;359974;97036;26000;18;
294;9562;7;319289;381363;62074;26000;19;
314;9521;7;241215;349682;108467;26000;20;
52;9572;7;233707;323444;89737;26000;21;
387;9506;7;262349;311366;49017;26000;22;
208;9513;7;308257;358984;50727;26000;23;
159;9561;6;277573;317457;39884;26000;24;
119;9603;7;281460;354064;72604;26000;25;
34;9609;7;289480;308954;19474;26000;26;
406;9549;8;269895;329718;59823;26000;27;
400;9597;6;297901;337486;39585;26000;28;
320;9516;6;286217;341473;55256;26000;29;
131;9552;7;255417;368218;112801;26000;30;
155;9601;7;291422;317468;26046;26000;31;
408;9531;7;254475;310671;56196;26000;32;
98;9521;8;254611;365380;110769;26000;33;
260;9636;7;245129;306010;60881;26000;34;
375;9504;7;280273;299006;18733;26000;35;
74;9570;7;274086;417515;143429;26000;36;
86;9660;7;285743;324419;38676;26000;37;
307;9600;7;221171;323937;102766;26000;38;
220;9554;7;240706;315301;74595;26000;39;
261;9579;7;276513;339030;62517;26000;40;
211;9565;8;245403;340651;95248;26000;41;
157;9581;7;268325;388803;120478;26000;42;
385;9575;8;263322;320108;56786;26000;43;
269;9489;7;234933;341048;106115;26000;44;
77;9555;7;291721;341464;49743;26000;45;
340;9523;7;326529;343316;16787;26000;46;
197;9635;7;301345;448954;147609;26000;47;
238;9546;7;324345;362962;38617;26000;48;
360;9511;7;245418;350988;105570;26000;49;
181;9988;7;290738;392155;101417;27000;0;
289;9881;7;278389;321379;42990;27000;1;
178;9894;7;246853;368487;121634;27000;2;
93;9921;7;283615;320343;36728;27000;3;
342;10034;7;250276;319347;69071;27000;4;
85;9958;7;290928;333809;42881;27000;5;
569;9918;6;471047;477639;6592;27000;6;
246;9880;7;327757;346036;18279;27000;7;
361;9917;9;272753;331726;58973;27000;8;
200;9965;7;254090;387386;133296;27000;9;
274;9903;7;317414;329032;11618;27000;10;
200;9893;7;260471;359787;99316;27000;11;
97;9894;7;295003;379710;84707;27000;12;
224;9885;7;284583;334590;50007;27000;13;
199;9906;7;334011;390393;56382;27000;14;
113;9886;8;281661;353651;71990;27000;15;
435;10015;7;254981;350136;95155;27000;16;
119;9889;7;390160;398038;7878;27000;17;
299;9906;7;292511;361461;68950;27000;18;
268;9952;7;354035;413157;59122;27000;19;
35;9902;7;335604;376646;41042;27000;20;
250;9945;8;364020;399617;35597;27000;21;
337;9914;7;318250;332246;13996;27000;22;
201;9964;8;306285;439499;133214;27000;23;
129;9919;8;271995;339755;67760;27000;24;
117;9873;7;304673;427091;122418;27000;25;
104;9960;8;278642;425438;146796;27000;26;
80;10065;7;271316;324521;53205;27000;27;
123;9930;7;268010;341283;73273;27000;28;
50;9924;7;290020;324986;34966;27000;29;
92;9972;7;280500;383354;102854;27000;30;
221;9950;8;376641;415611;38970;27000;31;
91;9950;7;321035;339741;18706;27000;32;
309;9902;8;258024;356016;97992;27000;33;
341;9940;8;297750;357026;59276;27000;34;
345;9908;7;283656;367555;83899;27000;35;
42;9868;6;280589;417345;136756;27000;36;
246;9933;8;246820;379029;132209;27000;37;
82;9879;8;310109;377407;67298;27000;38;
188;9883;7;311356;356637;45281;27000;39;
269;9892;7;336536;373017;36481;27000;40;
194;9908;7;343711;448296;104585;27000;41;
111;9971;7;285003;308265;23262;27000;42;
104;9993;7;280445;318768;38323;27000;43;
219;9912;8;254200;339755;85555;27000;44;
197;9928;7;264438;372489;108051;27000;45;
247;9976;7;291532;327926;36394;27000;46;
180;9944;7;266386;315426;49040;27000;47;
205;9913;7;296414;335234;38820;27000;48;
267;9848;7;286708;406499;119791;27000;49;
92;10332;8;281307;418122;136815;28000;0;
160;10401;7;453753;511052;57299;28000;1;
411;10428;7;299953;356140;56187;28000;2;
349;10282;7;301923;381993;80070;28000;3;
234;10224;6;337986;381324;43338;28000;4;
446;10321;8;263750;380383;116633;28000;5;
101;10369;7;256098;406338;150240;28000;6;
286;10337;7;269070;312554;43484;28000;7;
196;10365;7;319959;357052;37093;28000;8;
147;10308;8;254397;381701;127304;28000;9;
157;10290;6;294929;338594;43665;28000;10;
80;10320;8;273491;430405;156914;28000;11;
28;10180;8;280558;451981;171423;28000;12;
314;10293;7;305190;367911;62721;28000;13;
298;10272;7;290367;336725;46358;28000;14;
106;10199;7;408801;410117;1316;28000;15;
197;10228;7;377564;379481;1917;28000;16;
159;10410;7;333977;399095;65118;28000;17;
70;10322;7;339836;407763;67927;28000;18;
61;10255;6;288683;410131;121448;28000;19;
149;10300;7;261857;384455;122598;28000;20;
88;10274;8;261693;401146;139453;28000;21;
314;10287;8;277872;324763;46891;28000;22;
270;10346;8;272904;316897;43993;28000;23;
90;10286;7;334539;388918;54379;28000;24;
136;10360;8;311322;354619;43297;28000;25;
190;10282;7;271810;357927;86117;28000;26;
380;10228;7;327524;398881;71357;28000;27;
299;10257;7;341436;389174;47738;28000;28;
211;10392;7;284005;361129;77124;28000;29;
402;10284;7;324548;373245;48697;28000;30;
208;10397;9;277112;367809;90697;28000;31;
400;10299;7;259066;358788;99722;28000;32;
361;10288;7;310246;336433;26187;28000;33;
68;10243;7;287072;325264;38192;28000;34;
299;10334;7;280269;340323;60054;28000;35;
55;10328;7;258184;323022;64838;28000;36;
122;10174;7;338900;402697;63797;28000;37;
345;10338;7;332894;392472;59578;28000;38;
133;10351;8;276765;345946;69181;28000;39;
142;10248;7;306831;409407;102576;28000;40;
278;10312;7;297607;392967;95360;28000;41;
89;10330;8;297625;371753;74128;28000;42;
216;10301;6;310733;450789;140056;28000;43;
199;10358;9;281044;425588;144544;28000;44;
121;10286;7;245675;317269;71594;28000;45;
223;10355;8;274883;408859;133976;28000;46;
470;10244;7;315775;344743;28968;28000;47;
121;10294;7;303861;371797;67936;28000;48;
558;10318;7;275854;357810;81956;28000;49;
93;10732;7;281412;448337;166925;29000;0;
218;10678;7;286028;364397;78369;29000;1;
438;10652;8;272983;385022;112039;29000;2;
261;10662;8;315766;410713;94947;29000;3;
163;10682;7;265197;328172;62975;29000;4;
194;10701;7;269246;409683;140437;29000;5;
311;10659;7;296243;353849;57606;29000;6;
103;10713;7;295921;422365;126444;29000;7;
353;10632;7;383422;434972;51550;29000;8;
257;10631;7;274932;385660;110728;29000;9;
231;10596;8;297852;356985;59133;29000;10;
179;10643;7;291429;339524;48095;29000;11;
304;10656;7;295288;424365;129077;29000;12;
134;10616;6;377427;393298;15871;29000;13;
293;10704;7;260412;489656;229244;29000;14;
146;10636;7;319502;358947;39445;29000;15;
246;10659;7;316108;379010;62902;29000;16;
353;10583;7;292347;417469;125122;29000;17;
420;10672;7;321039;384541;63502;29000;18;
227;10566;7;289714;374345;84631;29000;19;
253;10589;7;279483;374895;95412;29000;20;
95;10550;7;344541;386718;42177;29000;21;
203;10595;8;332856;516623;183767;29000;22;
216;10659;7;377989;386730;8741;29000;23;
228;10746;7;286896;453260;166364;29000;24;
265;10779;8;332489;463243;130754;29000;25;
290;10551;9;346434;377685;31251;29000;26;
178;10710;7;336808;390725;53917;29000;27;
253;10665;7;303632;355945;52313;29000;28;
43;10775;7;309799;462903;153104;29000;29;
95;10609;7;303054;394969;91915;29000;30;
184;10779;7;338791;371244;32453;29000;31;
208;10625;7;329546;358337;28791;29000;32;
236;10692;7;313221;343052;29831;29000;33;
265;10636;8;369502;391498;21996;29000;34;
190;10571;8;258160;334477;76317;29000;35;
209;10604;8;271616;362118;90502;29000;36;
328;10688;8;296064;409449;113385;29000;37;
105;10606;7;291068;353916;62848;29000;38;
604;10639;7;360642;381396;20754;29000;39;
117;10581;7;295155;399461;104306;29000;40;
209;10659;8;259712;373029;113317;29000;41;
257;10603;8;324338;365939;41601;29000;42;
201;10817;7;303093;347354;44261;29000;43;
132;10671;7;254098;361279;107181;29000;44;
301;10594;7;298394;381523;83129;29000;45;
296;10616;8;321407;394957;73550;29000;46;
364;10622;7;347878;489874;141996;29000;47;
215;10773;7;357318;410862;53544;29000;48;
205;10748;7;298943;394233;95290;29000;49;
209;11049;8;313255;405024;91769;30000;0;
191;11025;7;304086;359555;55469;30000;1;
221;11054;6;438691;481292;42601;30000;2;
83;10986;6;400434;417464;17030;30000;3;
141;11093;7;367705;404673;36968;30000;4;
265;11070;7;350245;462707;112462;30000;5;
223;11016;7;362188;426907;64719;30000;6;
283;11095;8;378435;424069;45634;30000;7;
113;11091;7;323679;391469;67790;30000;8;
256;11060;7;329709;384405;54696;30000;9;
222;10954;7;286801;404801;118000;30000;10;
78;11081;7;314345;387440;73095;30000;11;
126;11024;7;287762;372915;85153;30000;12;
130;11126;7;381159;408550;27391;30000;13;
253;11029;7;300606;403655;103049;30000;14;
143;11047;8;337652;488033;150381;30000;15;
152;11034;7;355662;397305;41643;30000;16;
302;11063;8;301033;435855;134822;30000;17;
247;10985;7;285278;407165;121887;30000;18;
281;11010;7;282024;375083;93059;30000;19;
256;10908;7;360481;366122;5641;30000;20;
113;11034;7;368317;400361;32044;30000;21;
160;11080;7;296266;425378;129112;30000;22;
143;11079;7;304596;393974;89378;30000;23;
183;11068;7;313879;377912;64033;30000;24;
139;11126;7;276714;338882;62168;30000;25;
121;11021;7;315889;374258;58369;30000;26;
353;11015;8;293111;385339;92228;30000;27;
306;11042;9;269224;393558;124334;30000;28;
49;11035;7;348251;500288;152037;30000;29;
210;11029;7;309438;370832;61394;30000;30;
52;11113;9;338155;444143;105988;30000;31;
23;11047;8;339887;419416;79529;30000;32;
315;11085;7;287197;364911;77714;30000;33;
84;11040;8;287632;392183;104551;30000;34;
198;10975;7;300707;436358;135651;30000;35;
263;10966;7;362265;380620;18355;30000;36;
422;11110;7;320163;406985;86822;30000;37;
432;11034;7;283947;378478;94531;30000;38;
256;11095;6;298695;371264;72569;30000;39;
449;11031;9;342759;401189;58430;30000;40;
186;11033;7;296251;375609;79358;30000;41;
101;11102;8;329679;421270;91591;30000;42;
257;11017;7;406458;449367;42909;30000;43;
121;11002;7;324053;389664;65611;30000;44;
389;11092;7;384121;444875;60754;30000;45;
372;11017;6;317082;404148;87066;30000;46;
138;11015;7;288119;372601;84482;30000;47;
212;10951;7;333795;403269;69474;30000;48;
85;11055;8;359168;425803;66635;30000;49;
78;11410;7;355542;392173;36631;31000;0;
79;11367;9;286169;385613;99444;31000;1;
228;11441;7;399793;419453;19660;31000;2;
199;11361;8;355103;446338;91235;31000;3;
330;11406;8;315987;511196;195209;31000;4;
163;11440;7;418609;426676;8067;31000;5;
69;11482;8;281888;400643;118755;31000;6;
152;11469;7;415855;443823;27968;31000;7;
178;11375;7;340339;490167;149828;31000;8;
138;11370;7;313681;399887;86206;31000;9;
87;11426;7;298998;381459;82461;31000;10;
127;11416;9;385131;402164;17033;31000;11;
224;11412;7;309410;415081;105671;31000;12;
117;11445;7;302543;378104;75561;31000;13;
226;11311;7;323005;541826;218821;31000;14;
291;11291;8;376628;446030;69402;31000;15;
230;11480;7;334530;470204;135674;31000;16;
173;11398;7;396798;450711;53913;31000;17;
191;11450;7;318445;362702;44257;31000;18;
278;11369;8;284911;440236;155325;31000;19;
177;11445;7;385988;438966;52978;31000;20;
222;11501;6;336128;400127;63999;31000;21;
223;11388;8;299926;398053;98127;31000;22;
279;11449;7;315887;390199;74312;31000;23;
41;11312;6;397296;414515;17219;31000;24;
310;11383;8;308759;540630;231871;31000;25;
118;11391;7;338161;442221;104060;31000;26;
114;11459;8;317233;461795;144562;31000;27;
344;11433;6;338893;400755;61862;31000;28;
235;11354;7;355172;401354;46182;31000;29;
342;11431;8;354738;363129;8391;31000;30;
217;11485;7;335493;476377;140884;31000;31;
334;11415;7;291718;485622;193904;31000;32;
63;11450;7;315406;377487;62081;31000;33;
75;11359;6;342024;408033;66009;31000;34;
399;11322;6;370601;425744;55143;31000;35;
460;11392;7;304610;424053;119443;31000;36;
379;11408;8;286017;448289;162272;31000;37;
158;11386;7;293479;423723;130244;31000;38;
61;11390;7;300197;474458;174261;31000;39;
218;11450;7;327497;424962;97465;31000;40;
113;11439;7;307540;455043;147503;31000;41;
169;11445;7;340614;388198;47584;31000;42;
307;11404;7;311487;420679;109192;31000;43;
330;11408;7;323945;398384;74439;31000;44;
516;11439;6;357278;450438;93160;31000;45;
291;11398;7;434309;506327;72018;31000;46;
62;11463;7;315832;350502;34670;31000;47;
209;11499;8;323343;384232;60889;31000;48;
258;11451;6;395142;479959;84817;31000;49;
188;11772;8;360655;405044;44389;32000;0;
115;11827;7;348525;465263;116738;32000;1;
197;11855;8;368542;414768;46226;32000;2;
284;11735;8;344923;385826;40903;32000;3;
164;11830;8;362365;470513;108148;32000;4;
365;11641;9;319715;453831;134116;32000;5;
158;11787;9;380071;387776;7705;32000;6;
275;11803;7;313610;492289;178679;32000;7;
282;11771;7;420155;468833;48678;32000;8;
264;11740;9;346088;362545;16457;32000;9;
327;11796;8;398562;451329;52767;32000;10;
139;11808;7;350823;377308;26485;32000;11;
384;11827;7;306573;443060;136487;32000;12;
177;11749;7;297510;444494;146984;32000;13;
236;11788;8;358379;444873;86494;32000;14;
156;11742;7;335299;506028;170729;32000;15;
289;11785;7;358606;377531;18925;32000;16;
335;11841;8;362672;423762;61090;32000;17;
181;11673;6;415954;472404;56450;32000;18;
92;11787;7;330483;400409;69926;32000;19;
228;11792;7;336479;435083;98604;32000;20;
302;11759;8;321659;425453;103794;32000;21;
210;11743;7;390557;407619;17062;32000;22;
233;11829;8;362963;511081;148118;32000;23;
272;11888;7;338272;445571;107299;32000;24;
264;11723;7;407627;436691;29064;32000;25;
220;11728;7;373172;407392;34220;32000;26;
167;11713;8;351102;535902;184800;32000;27;
165;11741;7;304098;397328;93230;32000;28;
394;11748;7;316821;414669;97848;32000;29;
104;11725;8;335159;397739;62580;32000;30;
221;11819;7;388627;446498;57871;32000;31;
85;11766;7;316135;395289;79154;32000;32;
128;11803;7;331172;458159;126987;32000;33;
115;11754;7;333505;423470;89965;32000;34;
118;11759;10;333503;377643;44140;32000;35;
383;11809;7;315860;435994;120134;32000;36;
235;11779;7;389934;434346;44412;32000;37;
409;11719;8;310434;468834;158400;32000;38;
100;11846;7;336761;447178;110417;32000;39;
487;11728;7;309949;419545;109596;32000;40;
399;11815;7;338003;387843;49840;32000;41;
74;11743;7;293054;453640;160586;32000;42;
227;11856;7;352456;380523;28067;32000;43;
176;11764;7;305543;385302;79759;32000;44;
166;11810;8;395500;478851;83351;32000;45;
461;11734;8;302044;379495;77451;32000;46;
110;11734;7;355290;373593;18303;32000;47;
154;11662;8;317256;394978;77722;32000;48;
124;11804;7;340471;425622;85151;32000;49;
338;12143;7;391007;397424;6417;33000;0;
234;12151;7;407047;420243;13196;33000;1;
154;12114;7;327953;397268;69315;33000;2;
107;12171;7;367750;445228;77478;33000;3;
347;12133;7;322355;426151;103796;33000;4;
214;12173;8;441749;496072;54323;33000;5;
76;12255;7;395575;551158;155583;33000;6;
329;12181;7;439928;452676;12748;33000;7;
434;12133;7;348321;500452;152131;33000;8;
157;12146;7;314555;364547;49992;33000;9;
100;12155;7;346224;424681;78457;33000;10;
310;12243;7;363852;516212;152360;33000;11;
115;12094;6;328874;439840;110966;33000;12;
433;12025;7;417528;443115;25587;33000;13;
249;12144;7;364761;412437;47676;33000;14;
348;12114;7;327151;599191;272040;33000;15;
390;12166;7;322587;461245;138658;33000;16;
559;12184;8;365091;414494;49403;33000;17;
65;12229;8;383269;482673;99404;33000;18;
279;12125;7;337131;451918;114787;33000;19;
364;12102;7;349784;504201;154417;33000;20;
158;12154;7;401285;447858;46573;33000;21;
75;12108;7;354038;465012;110974;33000;22;
409;12150;7;372531;430397;57866;33000;23;
112;12140;7;389537;403489;13952;33000;24;
240;12143;7;388174;452284;64110;33000;25;
223;12154;7;321477;436307;114830;33000;26;
384;12103;8;343915;451203;107288;33000;27;
353;12214;7;400297;452188;51891;33000;28;
244;12184;7;367587;424907;57320;33000;29;
146;12163;7;409194;432320;23126;33000;30;
546;12101;7;376888;421345;44457;33000;31;
122;12171;7;423538;442665;19127;33000;32;
256;12110;7;334943;411081;76138;33000;33;
188;12116;7;424150;470073;45923;33000;34;
76;12118;7;325436;511591;186155;33000;35;
169;12062;8;355429;430978;75549;33000;36;
427;12183;7;327555;558819;231264;33000;37;
195;12253;7;359902;581519;221617;33000;38;
212;12112;8;422484;457903;35419;33000;39;
271;12177;7;330625;370112;39487;33000;40;
61;12148;8;436823;488377;51554;33000;41;
511;12162;7;465068;497371;32303;33000;42;
348;12005;7;388345;412743;24398;33000;43;
300;12131;7;457141;473123;15982;33000;44;
293;12070;8;376538;407478;30940;33000;45;
200;12179;8;382414;542970;160556;33000;46;
86;12183;7;380839;425824;44985;33000;47;
377;12115;7;394599;432011;37412;33000;48;
312;12171;7;303456;442696;139240;33000;49;
100;12615;8;391992;422622;30630;34000;0;
62;12530;7;428418;510400;81982;34000;1;
159;12508;7;494465;511132;16667;34000;2;
224;12465;7;433852;447162;13310;34000;3;
212;12554;7;386502;415510;29008;34000;4;
116;12572;7;355871;465855;109984;34000;5;
217;12479;7;384619;448519;63900;34000;6;
101;12569;6;369651;535769;166118;34000;7;
308;12474;7;308165;560609;252444;34000;8;
72;12473;7;314798;434919;120121;34000;9;
265;12521;7;349206;482794;133588;34000;10;
443;12472;7;363470;405033;41563;34000;11;
215;12508;7;396509;463530;67021;34000;12;
208;12744;7;417911;469352;51441;34000;13;
85;12497;9;395177;458884;63707;34000;14;
116;12573;7;373695;440064;66369;34000;15;
229;12533;7;335054;420637;85583;34000;16;
96;12441;7;432617;526641;94024;34000;17;
255;12467;8;478267;500249;21982;34000;18;
222;12482;8;372768;483894;111126;34000;19;
169;12518;7;355510;473295;117785;34000;20;
398;12526;7;551194;558287;7093;34000;21;
418;12527;7;386927;468772;81845;34000;22;
154;12512;7;348871;446698;97827;34000;23;
241;12433;7;448426;513973;65547;34000;24;
204;12583;7;356488;435343;78855;34000;25;
38;12556;7;381209;455239;74030;34000;26;
142;12492;7;332017;437172;105155;34000;27;
292;12549;7;340502;452192;111690;34000;28;
257;12522;7;335076;588747;253671;34000;29;
177;12511;7;330295;515767;185472;34000;30;
117;12522;7;351641;416621;64980;34000;31;
314;12486;8;400934;490634;89700;34000;32;
170;12517;7;378244;450415;72171;34000;33;
486;12596;8;305546;456913;151367;34000;34;
183;12449;8;293848;419911;126063;34000;35;
161;12445;8;371513;427154;55641;34000;36;
293;12505;6;411116;478121;67005;34000;37;
282;12466;7;434815;459509;24694;34000;38;
422;12344;7;354475;481810;127335;34000;39;
319;12530;7;389126;483450;94324;34000;40;
95;12394;7;350296;460680;110384;34000;41;
476;12467;7;317154;432848;115694;34000;42;
102;12548;7;547154;573879;26725;34000;43;
275;12662;7;361307;406143;44836;34000;44;
79;12501;7;462683;508431;45748;34000;45;
255;12404;7;448670;449089;419;34000;46;
116;12527;6;318178;493434;175256;34000;47;
162;12466;8;368927;464949;96022;34000;48;
151;12492;8;377944;416251;38307;34000;49;
273;12980;7;356534;450317;93783;35000;0;
284;12786;7;364265;434639;70374;35000;1;
228;12959;8;391355;450113;58758;35000;2;
107;12901;8;369669;527898;158229;35000;3;
83;12838;6;423050;431963;8913;35000;4;
271;12761;7;431193;515040;83847;35000;5;
109;12809;7;451460;506167;54707;35000;6;
191;12805;6;457435;479489;22054;35000;7;
120;12881;8;413267;540795;127528;35000;8;
181;12857;6;399744;473214;73470;35000;9;
317;12878;7;369278;464679;95401;35000;10;
163;12901;7;411186;493221;82035;35000;11;
102;12908;7;362011;432818;70807;35000;12;
301;12876;6;380318;418854;38536;35000;13;
142;12796;7;452721;462730;10009;35000;14;
78;12840;8;411003;464026;53023;35000;15;
94;12886;7;369845;431578;61733;35000;16;
174;12767;7;422270;454482;32212;35000;17;
273;12982;8;429314;586467;157153;35000;18;
110;12988;7;379562;406488;26926;35000;19;
323;12987;7;400757;495339;94582;35000;20;
134;12886;7;360020;450434;90414;35000;21;
257;12850;8;391877;544036;152159;35000;22;
287;12886;8;390526;427495;36969;35000;23;
52;12860;7;314043;490695;176652;35000;24;
61;12919;7;397656;476533;78877;35000;25;
143;12981;8;396242;434976;38734;35000;26;
117;12907;8;366355;560639;194284;35000;27;
195;12849;7;464988;517423;52435;35000;28;
104;12821;8;338722;491322;152600;35000;29;
227;12779;7;387456;462868;75412;35000;30;
313;12922;7;456146;498724;42578;35000;31;
90;12979;8;413267;428568;15301;35000;32;
213;12828;8;381957;518869;136912;35000;33;
247;12800;9;346798;443287;96489;35000;34;
267;12842;8;339949;461044;121095;35000;35;
280;12948;8;394413;487894;93481;35000;36;
233;12898;7;478492;504688;26196;35000;37;
298;12861;8;356132;470569;114437;35000;38;
235;12745;7;364973;560545;195572;35000;39;
748;12853;7;427889;480708;52819;35000;40;
197;12846;7;421025;463095;42070;35000;41;
185;12968;7;370352;428959;58607;35000;42;
175;12869;8;368195;497560;129365;35000;43;
308;12823;8;339991;537873;197882;35000;44;
235;12921;7;377173;452143;74970;35000;45;
429;12924;6;330616;445714;115098;35000;46;
285;12806;7;350891;441278;90387;35000;47;
288;12910;8;418362;532947;114585;35000;48;
366;12935;7;430497;482686;52189;35000;49;
51;13285;8;401554;490342;88788;36000;0;
473;13187;8;405385;449343;43958;36000;1;
102;13282;7;368395;476789;108394;36000;2;
319;13251;7;422104;447164;25060;36000;3;
46;13219;7;461821;538698;76877;36000;4;
418;13206;7;364575;483117;118542;36000;5;
217;13183;7;322556;460542;137986;36000;6;
263;13253;7;379273;431183;51910;36000;7;
235;13257;7;398134;520730;122596;36000;8;
125;13305;7;386702;457879;71177;36000;9;
291;13255;7;377162;516279;139117;36000;10;
251;13257;8;373164;612682;239518;36000;11;
98;13313;8;443637;498107;54470;36000;12;
228;13225;7;368696;498065;129369;36000;13;
98;13231;8;394631;426474;31843;36000;14;
267;13210;8;395358;466739;71381;36000;15;
161;13212;7;340267;471464;131197;36000;16;
67;13113;7;369925;520097;150172;36000;17;
365;13351;8;452376;497195;44819;36000;18;
278;13219;7;372060;457450;85390;36000;19;
338;13360;7;389033;551963;162930;36000;20;
201;13269;8;416827;533937;117110;36000;21;
38;13256;6;382541;492369;109828;36000;22;
355;13352;7;389502;449879;60377;36000;23;
124;13227;7;431095;506248;75153;36000;24;
266;13324;8;359603;480276;120673;36000;25;
576;13265;7;463933;486907;22974;36000;26;
342;13253;7;392482;511569;119087;36000;27;
85;13215;7;328791;466388;137597;36000;28;
575;13355;7;407232;465985;58753;36000;29;
294;13171;8;363561;500692;137131;36000;30;
349;13256;7;383538;461837;78299;36000;31;
293;13326;7;379549;469817;90268;36000;32;
87;13256;7;486652;530952;44300;36000;33;
234;13236;6;373656;558771;185115;36000;34;
287;13271;7;467691;487886;20195;36000;35;
58;13214;7;511466;579424;67958;36000;36;
332;13233;8;343167;441408;98241;36000;37;
215;13342;7;448756;465946;17190;36000;38;
211;13249;8;446151;466451;20300;36000;39;
83;13119;7;371071;485861;114790;36000;40;
162;13315;7;365954;474428;108474;36000;41;
182;13241;8;366805;459886;93081;36000;42;
263;13191;7;384057;472087;88030;36000;43;
136;13328;7;405229;471980;66751;36000;44;
89;13235;8;373101;520737;147636;36000;45;
256;13152;6;421906;540352;118446;36000;46;
159;13141;6;403673;434395;30722;36000;47;
181;13189;9;455969;476216;20247;36000;48;
35;13257;7;421048;458353;37305;36000;49;
259;13636;7;517814;553159;35345;37000;0;
341;13561;8;388344;493989;105645;37000;1;
219;13589;7;392667;494211;101544;37000;2;
423;13651;7;387755;486857;99102;37000;3;
256;13535;8;367326;583853;216527;37000;4;
481;13581;7;331783;466866;135083;37000;5;
256;13627;8;435043;441940;6897;37000;6;
265;13527;8;372473;594934;222461;37000;7;
227;13538;7;413828;467694;53866;37000;8;
260;13563;7;430728;601188;170460;37000;9;
68;13625;8;346608;612950;266342;37000;10;
259;13677;8;485911;523570;37659;37000;11;
198;13598;7;354518;490836;136318;37000;12;
298;13516;8;456701;577173;120472;37000;13;
59;13508;6;409436;560953;151517;37000;14;
194;13630;6;404551;500802;96251;37000;15;
132;13631;8;420920;486659;65739;37000;16;
103;13703;8;385671;464513;78842;37000;17;
85;13679;7;529809;582859;53050;37000;18;
157;13603;8;407845;486374;78529;37000;19;
85;13593;8;402040;528508;126468;37000;20;
171;13536;8;391469;484752;93283;37000;21;
167;13539;7;378565;482458;103893;37000;22;
217;13637;7;455125;461244;6119;37000;23;
196;13647;7;422855;455120;32265;37000;24;
107;13542;7;427033;512765;85732;37000;25;
248;13550;7;372337;483966;111629;37000;26;
593;13676;7;333725;481890;148165;37000;27;
231;13626;8;361189;470492;109303;37000;28;
393;13643;7;474765;525614;50849;37000;29;
217;13564;7;371456;510598;139142;37000;30;
270;13653;7;359047;468859;109812;37000;31;
297;13654;8;417023;487534;70511;37000;32;
323;13631;8;368997;466891;97894;37000;33;
214;13572;7;425936;520620;94684;37000;34;
458;13728;8;336293;476283;139990;37000;35;
150;13546;6;461093;478247;17154;37000;36;
364;13733;8;414299;531557;117258;37000;37;
322;13550;8;429451;561657;132206;37000;38;
389;13633;7;408701;630395;221694;37000;39;
582;13624;7;411687;569570;157883;37000;40;
191;13641;7;361825;490781;128956;37000;41;
197;13625;7;420511;503989;83478;37000;42;
376;13685;7;366674;450414;83740;37000;43;
215;13588;8;438380;503425;65045;37000;44;
274;13641;9;421270;543963;122693;37000;45;
60;13707;7;418381;523383;105002;37000;46;
258;13653;7;461794;487965;26171;37000;47;
